,DK,NO,DE,BE,NL,GB
2015-10-28 19:00:00,19360.71825448331,27735.72743619938,246835.89807437977,33524.39709652191,40540.25583995938,96731.63313740994
2015-10-28 20:00:00,18968.958282815525,28248.8795184484,248002.61224178557,32688.784414559446,40669.10955288658,101080.15738533036
2015-10-28 21:00:00,18654.346777750103,27661.74967816087,248479.35847270835,33267.30398236422,40977.422890543494,103727.44170803457
2015-10-28 22:00:00,18461.674066107684,26987.742111862175,242280.05561326072,33247.07585916102,40320.170642952035,106056.94956277021
2015-10-28 23:00:00,17770.428316070866,26401.051089657558,238798.8372546341,32006.024567358432,39064.51882317644,108691.05597700157
2015-10-29 00:00:00,13861.214640471355,26147.67594097163,245641.49869217922,31506.37223585473,38790.717182365916,112903.19705397479
2015-10-29 01:00:00,12715.398520950439,26100.966063826538,244966.1289005875,31313.79543143986,37126.38935124253,116668.21238881306
2015-10-29 02:00:00,11760.343441794479,26169.50606490698,245629.31147543664,33248.10585464769,35859.329237921025,120414.13570396206
2015-10-29 03:00:00,9485.303222382114,26256.862210977466,252237.24860651878,35056.023106325025,35872.74037108047,122886.30436916422
2015-10-29 04:00:00,6913.214053413156,26870.500974237562,264620.5588685851,36297.4825563799,36964.193537094005,123994.42811519135
2015-10-29 05:00:00,9263.001279982742,28320.44857650438,287560.9091641839,38631.56628489182,39597.87479634057,126137.66865075448
2015-10-29 06:00:00,11314.476537685077,29813.48213242031,301098.4079653275,40056.41639262757,45834.15723377335,126224.3354309111
2015-10-29 07:00:00,11640.17326672144,29977.22577967165,276186.0310974755,38320.638756106266,42938.37635167072,125582.81780485
2015-10-29 08:00:00,11058.973709993605,29545.350442648054,233714.0818228698,36063.66119040354,37176.788894066805,126642.3988755178
2015-10-29 09:00:00,10360.853857194286,29075.72422121225,215433.76843912635,31921.70566672337,37000.30892600796,120164.79305770918
2015-10-29 10:00:00,10499.974007015491,28609.083890070222,217555.72494534,35702.59204709146,41582.7228405921,117019.772584547
2015-10-29 11:00:00,11048.811754551221,28250.38977748345,211236.16975038798,35853.748457967726,46416.60815834427,110847.60302185087
2015-10-29 12:00:00,10645.262056724365,28231.4602225636,200345.98792768273,34022.597792812434,44249.52766135743,109794.10279679285
2015-10-29 13:00:00,10494.773160502566,28007.33294631044,172150.68121938317,31954.217598567775,41391.601418093145,108530.14612291062
2015-10-29 14:00:00,9591.696504316425,28257.74728966695,190974.70971377468,29875.651951850436,35937.567506055966,100652.55192151466
2015-10-29 15:00:00,10240.052498167526,28861.8659607888,237201.8026103982,27557.83576113166,32551.54813209377,76190.19961921981
2015-10-29 16:00:00,11904.042508849916,29307.221725215913,293821.71911157673,33128.37683842043,45489.56519207371,93871.73970333733
2015-10-29 17:00:00,12397.133262473415,29246.117435493372,302164.1442287141,35024.04920496396,45661.88149278348,110523.88608769167
2015-10-29 18:00:00,12382.640825345748,28891.42528460947,303647.2837068542,35237.64599276084,45999.19109571497,106018.54721905512
2015-10-29 19:00:00,11627.243786300209,28705.35204907454,293657.6799160577,33349.511517723746,39939.41050029483,99268.20142613492
2015-10-29 20:00:00,11442.193982045967,28347.36507887628,285696.31168385997,32764.06207145991,37477.70320730079,91668.05033600416
2015-10-29 21:00:00,10780.26347449387,27677.8910749467,275751.58778310654,34312.506782132026,37491.263777105,84513.17603421069
2015-10-29 22:00:00,10193.272223674005,26867.965916353012,263971.6611429322,35598.96085948049,37354.2712467486,73727.8838982054
2015-10-29 23:00:00,9581.78441549579,26327.15640844358,258380.89848656062,35423.31410111599,36541.72299991996,76202.53157105367
2015-10-30 00:00:00,9628.57198500562,26056.75250085828,257582.48531519275,33989.66068908011,35262.63604389709,84231.9012143778
2015-10-30 01:00:00,8820.954403389924,25952.31618145528,249915.19986321233,32970.69638819037,35277.92710752958,94334.63018776676
2015-10-30 02:00:00,7748.825011607325,26026.345333370697,244896.77561561842,33104.782143712044,38788.92457615405,99636.6027955464
2015-10-30 03:00:00,7373.565917326394,26167.30934111773,243254.18084349658,33476.86285431658,40586.50703251306,101006.20792558003
2015-10-30 04:00:00,7056.6241966248135,26473.319159724353,249124.23648764804,34733.414033162146,42045.18198801928,102300.68046155867
2015-10-30 05:00:00,7888.256018230826,27714.99715200906,267643.62199068395,37613.79890316417,43459.12658185886,103462.38961842947
2015-10-30 06:00:00,9497.35521583174,29187.630988504847,277512.6614295705,39410.3687055481,44015.514628864184,100164.13766457188
2015-10-30 07:00:00,9091.24319260526,29267.04883852679,242492.81393231958,37534.36013123246,48220.25086845371,106357.42562717057
2015-10-30 08:00:00,7983.082083642751,29137.84223712937,216840.51823972724,44394.13537322341,57150.435475996484,110658.47692759462
2015-10-30 09:00:00,7378.555681042546,29049.207855950586,230497.5077354748,48890.89475681349,60693.0821175308,109958.29179411738
2015-10-30 10:00:00,6865.165627250481,28432.612675816625,236544.26685393063,45442.569504471954,58678.40595807979,121450.90737095462
